STATION_ID,DURATION,SENSOR_NUMBER,SENSOR_TYPE,DATE TIME,OBS DATE,VALUE,DATA_FLAG,UNITS
MRN,H,2,RAIN,20240105 1400,20240105 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240105 1500,20240105 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240105 1600,20240105 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240105 1700,20240105 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240105 1800,20240105 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240105 1900,20240105 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240105 2000,20240105 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240105 2100,20240105 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240105 2200,20240105 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240105 2300,20240105 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240106 0000,20240106 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240106 0100,20240106 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240106 0200,20240106 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240106 0300,20240106 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240106 0400,20240106 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240106 0500,20240106 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240106 0600,20240106 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240106 0700,20240106 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240106 0800,20240106 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240106 0900,20240106 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240106 1000,20240106 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240106 1100,20240106 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240106 1200,20240106 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240106 1300,20240106 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240106 1400,20240106 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240106 1500,20240106 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240106 1600,20240106 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240106 1700,20240106 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240106 1800,20240106 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240106 1900,20240106 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240106 2000,20240106 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240106 2100,20240106 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240106 2200,20240106 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240106 2300,20240106 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240107 0000,20240107 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240107 0100,20240107 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240107 0200,20240107 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240107 0300,20240107 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240107 0400,20240107 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240107 0500,20240107 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240107 0600,20240107 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240107 0700,20240107 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240107 0800,20240107 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240107 0900,20240107 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240107 1000,20240107 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240107 1100,20240107 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240107 1200,20240107 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240107 1300,20240107 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240107 1400,20240107 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240107 1500,20240107 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240107 1600,20240107 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240107 1700,20240107 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240107 1800,20240107 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240107 1900,20240107 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240107 2000,20240107 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240107 2100,20240107 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240107 2200,20240107 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240107 2300,20240107 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240108 0000,20240108 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240108 0100,20240108 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240108 0200,20240108 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240108 0300,20240108 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240108 0400,20240108 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240108 0500,20240108 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240108 0600,20240108 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240108 0700,20240108 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240108 0800,20240108 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240108 0900,20240108 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240108 1000,20240108 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240108 1100,20240108 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240108 1200,20240108 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240108 1300,20240108 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240108 1400,20240108 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240108 1500,20240108 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240108 1600,20240108 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240108 1700,20240108 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240108 1800,20240108 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240108 1900,20240108 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240108 2000,20240108 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240108 2100,20240108 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240108 2200,20240108 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240108 2300,20240108 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240109 0000,20240109 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240109 0100,20240109 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240109 0200,20240109 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240109 0300,20240109 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240109 0400,20240109 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240109 0500,20240109 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240109 0600,20240109 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240109 0700,20240109 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240109 0800,20240109 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240109 0900,20240109 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240109 1000,20240109 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240109 1100,20240109 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240109 1200,20240109 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240109 1300,20240109 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240109 1400,20240109 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240109 1500,20240109 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240109 1600,20240109 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240109 1700,20240109 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240109 1800,20240109 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240109 1900,20240109 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240109 2000,20240109 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240109 2100,20240109 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240109 2200,20240109 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240109 2300,20240109 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240110 0000,20240110 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240110 0100,20240110 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240110 0200,20240110 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240110 0300,20240110 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240110 0400,20240110 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240110 0500,20240110 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240110 0600,20240110 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240110 0700,20240110 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240110 0800,20240110 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240110 0900,20240110 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240110 1000,20240110 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240110 1100,20240110 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240110 1200,20240110 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240110 1300,20240110 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240110 1400,20240110 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240110 1500,20240110 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240110 1600,20240110 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240110 1700,20240110 1700,3.00, ,INCHES
MRN,H,2,RAIN,20240110 1800,20240110 1800,3.00, ,INCHES
MRN,H,2,RAIN,20240110 1900,20240110 1900,3.00, ,INCHES
MRN,H,2,RAIN,20240110 2000,20240110 2000,3.00, ,INCHES
MRN,H,2,RAIN,20240110 2100,20240110 2100,3.00, ,INCHES
MRN,H,2,RAIN,20240110 2200,20240110 2200,3.00, ,INCHES
MRN,H,2,RAIN,20240110 2300,20240110 2300,3.00, ,INCHES
MRN,H,2,RAIN,20240111 0000,20240111 0000,3.00, ,INCHES
MRN,H,2,RAIN,20240111 0100,20240111 0100,3.00, ,INCHES
MRN,H,2,RAIN,20240111 0200,20240111 0200,3.00, ,INCHES
MRN,H,2,RAIN,20240111 0300,20240111 0300,3.00, ,INCHES
MRN,H,2,RAIN,20240111 0400,20240111 0400,3.00, ,INCHES
MRN,H,2,RAIN,20240111 0500,20240111 0500,3.00, ,INCHES
MRN,H,2,RAIN,20240111 0600,20240111 0600,3.00, ,INCHES
MRN,H,2,RAIN,20240111 0700,20240111 0700,3.00, ,INCHES
MRN,H,2,RAIN,20240111 0800,20240111 0800,3.00, ,INCHES
MRN,H,2,RAIN,20240111 0900,20240111 0900,3.00, ,INCHES
MRN,H,2,RAIN,20240111 1000,20240111 1000,3.00, ,INCHES
MRN,H,2,RAIN,20240111 1100,20240111 1100,3.00, ,INCHES
MRN,H,2,RAIN,20240111 1200,20240111 1200,3.00, ,INCHES
MRN,H,2,RAIN,20240111 1300,20240111 1300,3.00, ,INCHES
MRN,H,2,RAIN,20240111 1400,20240111 1400,3.00, ,INCHES
MRN,H,2,RAIN,20240111 1500,20240111 1500,3.00, ,INCHES
MRN,H,2,RAIN,20240111 1600,20240111 1600,3.00, ,INCHES
MRN,H,2,RAIN,20240111 1700,20240111 1700,3.00, ,INCHES
